ID,Name,CoordinateX,CoordinateY,StudentsCount,FormOfEducation,Semester,AdminName,AdminBirthday,Height,PassportID
5108,holydgh,8888,19.001,123,DISTANCE_EDUCATION,THIRD,Goliaph,01/01/2000,151.0,Pupupu
5398,goossdTut,1703,17.03,1298,EVENING_CLASSES,FOURTH,Andre,12/12/1212,180.0,GOOOLLLL777
8654,AAAAAAAfbooooo, , ,12323,EVENING_CLASSES,EIGHTH,Fackis,28/02/1001,200.0,ToBeOrNotToBe
14619,hahahahaha, ,211.31,666,FULL_TIME_EDUCATION,THIRD,Romania,10/10/1010,120.0,123CODE
432320,faaaaaaaaaal,12, ,213,FULL_TIME_EDUCATION,SEVENTH,gooleman,12/12/0001, ,adadas
8678754,AAAAAAAAsadsdgfbooooo, , ,12323,EVENING_CLASSES,EIGHTH,Fackis,28/02/1001,200.0,ToBeOrNotToBe
14284619,hahahahahadfgadasdhaha, ,211.31,666,FULL_TIME_EDUCATION,THIRD,Romania,10/10/1010,120.0,123CODE
32039855,oioinana,1,Infinity,12121,DISTANCE_EDUCATION,EIGHTH,das,12/12/1212,1212.0,121212sdfsdqadas
51842688,holydgshissah,8888,19.001,123,DISTANCE_EDUCATION,THIRD,Goliaph,01/01/2000,151.0,Pupupu
865431231,AAAAAAAfbooooo, , ,12323,EVENING_CLASSES,EIGHTH,Fackis,28/02/1001,200.0,ToBeOrNotToBe
